id,freq,grammar,sv,wclass,example
4213,1354,en,realitet,noun-en,
4214,1353,att,marknadsföra,verb,
4215,1353,,vitt,adverb,
4216,1353,,vrede,noun-en,
4217,,,satan,noun,
4218,1352,,statistisk,adjective,
4219,1352,,ödmjuk,adjective,
4220,1351,,i natt,adverb,
4221,1351,en,klarhet,noun-en,
4222,1351,,långsiktigt,adverb,
4223,1349,att,anstränga,verb,e.g. anstränga sig
4224,1348,,generös,adjective,
4225,1348,ett,mellanrum,noun-ett,
4226,1348,ett,sken,noun-ett,
4227,1348,en,upplösning,noun-en,
4228,1348,en,vistelse,noun-en,
4229,1347,att,växla,verb,
4230,1346,,strukturell,adjective,
4231,1343,att,förvärva,verb,
4232,1343,,regi,noun-en,
4233,,en,anka,noun-en,
4234,1342,en,redogörelse,noun-en,
4235,1342,,statsmakt,noun-en,
4236,1341,en,etta,noun-en,
4237,1341,,relativ,adjective,
4238,1341,,vindkraft,noun-en,
4239,1340,,imperialistisk,adjective,
4240,1340,en,måltid,noun-en,
4241,1339,,till synes,adverb,
4242,1338,att,belöna,verb,
4243,1338,att,importera,verb,
4244,1338,en,liter,noun-en,
4245,1338,,rentav,adverb,
4246,1338,en,stormakt,noun-en,
4247,1337,,samtida,adjective,
4248,1336,,legal,adjective,
4249,1336,,principiell,adjective,
4250,1336,,valfrihet,noun-en,
4251,1335,,tydlighet,noun-en,
4252,1335,en,växthusgas,noun-en,
4253,1333,ett,evenemang,noun-ett,
4254,1331,ett,lösenord,noun-ett,
4255,1330,en,dialekt,noun-en,
4256,1329,att,behärska,verb,
4257,1329,en,föregångare,noun-en,
4258,1329,,homosexualitet,noun-en,
4259,1329,,seg,adjective,
4260,1328,en,licens,noun-en,
4261,1328,,platt,adjective,
4262,1327,en,iver,noun-en,
4263,1326,en,resenär,noun-en,
4264,1326,att,utrota,verb,
4265,1325,att,uppfinna,verb,
4266,,en,cup,noun-en,
4267,,,omvänd,adjective,
4268,1324,en,dagordning,noun-en,
4269,1322,,perfekt,adverb,
4270,1322,en,splittring,noun-en,
4271,1321,att,inbilla,verb,e.g. inbilla sig
4272,1320,att,avge,verb,
